workerid,proliferate.condition,internal_node_id,response,response_0,response_1,response_2,response_3,response_4,response_5,response_6,response_7,response_8,rt,stimulus,success,target_image_0,target_image_1,target_image_2,target_image_3,target_image_4,target_image_5,target_image_6,target_image_7,target_image_8,time_elapsed,trial_index,trial_type,error
47,Condition 1,0.0-7.0-0.4,,0,0,0,0,0,0,4,6,0,6738,"<div><img src=""./visual stimuli-exp/grades/visualized_grades_context/visualized_excellent.png"" height = ""330""></div><p style=""margin: 8px 0px;"">Which examination sheet do you think is on the desk? Use the ""+"" and ""&ndash;"" buttons to distribute 10 coins across the likely examination sheets.</p>",,./visual stimuli-exp/grades/adjusted_grades/30_wrong.png,./visual stimuli-exp/grades/adjusted_grades/13_wrong.png,./visual stimuli-exp/grades/adjusted_grades/11_wrong.png,./visual stimuli-exp/grades/adjusted_grades/9_wrong.png,./visual stimuli-exp/grades/adjusted_grades/7_wrong.png,./visual stimuli-exp/grades/adjusted_grades/5_wrong.png,./visual stimuli-exp/grades/adjusted_grades/3_wrong.png,./visual stimuli-exp/grades/adjusted_grades/1_wrong.png,./visual stimuli-exp/grades/adjusted_grades/0_wrong.png,158499,16,html-coin-betting-response,
47,Condition 1,0.0-7.0-0.5,,0,0,0,0,5,5,0,0,0,5785,"<div><img src=""./visual stimuli-exp/grades/visualized_grades_context/visualized_good.png"" height = ""330""></div><p style=""margin: 8px 0px;"">Which examination sheet do you think is on the desk? Use the ""+"" and ""&ndash;"" buttons to distribute 10 coins across the likely examination sheets.</p>",,./visual stimuli-exp/grades/adjusted_grades/30_wrong.png,./visual stimuli-exp/grades/adjusted_grades/13_wrong.png,./visual stimuli-exp/grades/adjusted_grades/11_wrong.png,./visual stimuli-exp/grades/adjusted_grades/9_wrong.png,./visual stimuli-exp/grades/adjusted_grades/7_wrong.png,./visual stimuli-exp/grades/adjusted_grades/5_wrong.png,./visual stimuli-exp/grades/adjusted_grades/3_wrong.png,./visual stimuli-exp/grades/adjusted_grades/1_wrong.png,./visual stimuli-exp/grades/adjusted_grades/0_wrong.png,164285,17,html-coin-betting-response,
47,Condition 1,0.0-8.0,0,,,,,,,,,,19062,"<p>Congratulations! You have completed the second task. In the third part, you will see scenes similar to the one presented below. In each scene, the woman on the left is managing several buildings and needs to know whether the windows of one of the buildings need to be cleaned. She calls her colleague who works in that building to ask him about the state of the windows. The man gives a relevant answer after checking the cleanliness of the windows.</p><div><img src='./visual stimuli-exp/clean/visualized_cleaness_context/visualized_cleanish.png' height = '450'></div>",,,,,,,,,,,183347,18,html-button-response,
47,Condition 1,0.0-9.0-0.0,,0,0,0,0,0,0,0,4,6,9347,"<div><img src=""./visual stimuli-exp/clean/visualized_cleaness_context/visualized_clean.png"" height = ""310""></div><p style=""margin: 8px 0px;"">Which window do you think the man is looking at? Use the ""+"" and ""&ndash;"" buttons to distribute 10 coins across the likely windows.</p>",,./visual stimuli-exp/clean/adjusted_cleaness/100-dirty.png,./visual stimuli-exp/clean/adjusted_cleaness/60-dirty-with-spots.png,./visual stimuli-exp/clean/adjusted_cleaness/45-dirty-with-spots.png,./visual stimuli-exp/clean/adjusted_cleaness/30-clean.png,./visual stimuli-exp/clean/adjusted_cleaness/15-clean.png,./visual stimuli-exp/clean/adjusted_cleaness/0-clean-spotless.png,./visual stimuli-exp/clean/adjusted_cleaness/0-spotless.png,./visual stimuli-exp/clean/adjusted_cleaness/0-spotless-light-2.png,./visual stimuli-exp/clean/adjusted_cleaness/0-spotless-light-4.png,192695,19,html-coin-betting-response,
47,Condition 1,0.0-9.0-0.1,,0,0,0,0,5,5,0,0,0,8399,"<div><img src=""./visual stimuli-exp/clean/visualized_cleaness_context/visualized_cleanish.png"" height = ""310""></div><p style=""margin: 8px 0px;"">Which window do you think the man is looking at? Use the ""+"" and ""&ndash;"" buttons to distribute 10 coins across the likely windows.</p>",,./visual stimuli-exp/clean/adjusted_cleaness/100-dirty.png,./visual stimuli-exp/clean/adjusted_cleaness/60-dirty-with-spots.png,./visual stimuli-exp/clean/adjusted_cleaness/45-dirty-with-spots.png,./visual stimuli-exp/clean/adjusted_cleaness/30-clean.png,./visual stimuli-exp/clean/adjusted_cleaness/15-clean.png,./visual stimuli-exp/clean/adjusted_cleaness/0-clean-spotless.png,./visual stimuli-exp/clean/adjusted_cleaness/0-spotless.png,./visual stimuli-exp/clean/adjusted_cleaness/0-spotless-light-2.png,./visual stimuli-exp/clean/adjusted_cleaness/0-spotless-light-4.png,201096,20,html-coin-betting-response,
47,Condition 1,0.0-9.0-0.2,,0,0,0,0,0,0,0,0,10,5455,"<div><img src=""./visual stimuli-exp/clean/visualized_cleaness_context/visualized_spotless.png"" height = ""310""></div><p style=""margin: 8px 0px;"">Which window do you think the man is looking at? Use the ""+"" and ""&ndash;"" buttons to distribute 10 coins across the likely windows.</p>",,./visual stimuli-exp/clean/adjusted_cleaness/100-dirty.png,./visual stimuli-exp/clean/adjusted_cleaness/60-dirty-with-spots.png,./visual stimuli-exp/clean/adjusted_cleaness/45-dirty-with-spots.png,./visual stimuli-exp/clean/adjusted_cleaness/30-clean.png,./visual stimuli-exp/clean/adjusted_cleaness/15-clean.png,./visual stimuli-exp/clean/adjusted_cleaness/0-clean-spotless.png,./visual stimuli-exp/clean/adjusted_cleaness/0-spotless.png,./visual stimuli-exp/clean/adjusted_cleaness/0-spotless-light-2.png,./visual stimuli-exp/clean/adjusted_cleaness/0-spotless-light-4.png,206552,21,html-coin-betting-response,
47,Condition 1,0.0-9.0-0.3,,0,0,0,0,0,0,0,0,10,5647,"<div><img src=""./visual stimuli-exp/clean/visualized_cleaness_context/visualized_spotless.png"" height = ""310""></div><p style=""margin: 8px 0px;"">Which window do you think the man is looking at? Use the ""+"" and ""&ndash;"" buttons to distribute 10 coins across the likely windows.</p>",,./visual stimuli-exp/clean/adjusted_cleaness/100-dirty.png,./visual stimuli-exp/clean/adjusted_cleaness/60-dirty-with-spots.png,./visual stimuli-exp/clean/adjusted_cleaness/45-dirty-with-spots.png,./visual stimuli-exp/clean/adjusted_cleaness/30-clean.png,./visual stimuli-exp/clean/adjusted_cleaness/15-clean.png,./visual stimuli-exp/clean/adjusted_cleaness/0-clean-spotless.png,./visual stimuli-exp/clean/adjusted_cleaness/0-spotless.png,./visual stimuli-exp/clean/adjusted_cleaness/0-spotless-light-2.png,./visual stimuli-exp/clean/adjusted_cleaness/0-spotless-light-4.png,212201,22,html-coin-betting-response,
47,Condition 1,0.0-9.0-0.4,,0,0,0,0,0,5,5,0,0,4271,"<div><img src=""./visual stimuli-exp/clean/visualized_cleaness_context/visualized_clean.png"" height = ""310""></div><p style=""margin: 8px 0px;"">Which window do you think the man is looking at? Use the ""+"" and ""&ndash;"" buttons to distribute 10 coins across the likely windows.</p>",,./visual stimuli-exp/clean/adjusted_cleaness/100-dirty.png,./visual stimuli-exp/clean/adjusted_cleaness/60-dirty-with-spots.png,./visual stimuli-exp/clean/adjusted_cleaness/45-dirty-with-spots.png,./visual stimuli-exp/clean/adjusted_cleaness/30-clean.png,./visual stimuli-exp/clean/adjusted_cleaness/15-clean.png,./visual stimuli-exp/clean/adjusted_cleaness/0-clean-spotless.png,./visual stimuli-exp/clean/adjusted_cleaness/0-spotless.png,./visual stimuli-exp/clean/adjusted_cleaness/0-spotless-light-2.png,./visual stimuli-exp/clean/adjusted_cleaness/0-spotless-light-4.png,216473,23,html-coin-betting-response,
47,Condition 1,0.0-9.0-0.5,,0,0,0,5,5,0,0,0,0,6469,"<div><img src=""./visual stimuli-exp/clean/visualized_cleaness_context/visualized_cleanish.png"" height = ""310""></div><p style=""margin: 8px 0px;"">Which window do you think the man is looking at? Use the ""+"" and ""&ndash;"" buttons to distribute 10 coins across the likely windows.</p>",,./visual stimuli-exp/clean/adjusted_cleaness/100-dirty.png,./visual stimuli-exp/clean/adjusted_cleaness/60-dirty-with-spots.png,./visual stimuli-exp/clean/adjusted_cleaness/45-dirty-with-spots.png,./visual stimuli-exp/clean/adjusted_cleaness/30-clean.png,./visual stimuli-exp/clean/adjusted_cleaness/15-clean.png,./visual stimuli-exp/clean/adjusted_cleaness/0-clean-spotless.png,./visual stimuli-exp/clean/adjusted_cleaness/0-spotless.png,./visual stimuli-exp/clean/adjusted_cleaness/0-spotless-light-2.png,./visual stimuli-exp/clean/adjusted_cleaness/0-spotless-light-4.png,222943,24,html-coin-betting-response,
47,Condition 1,0.0-10.0,,,,,,,,,,,,,True,,,,,,,,,,223956,25,fullscreen,
47,Condition 1,0.0-11.0,{'Comment': ''},,,,,,,,,,2156,,,,,,,,,,,,226120,26,survey-text,
47,Condition 1,0.0-12.0,,,,,,,,,,,,"<p style = ""font-size: 25px;"">Thank you for your participation.<br>This is the end of the experiment and you will now be redirected to Prolific.</p>",,,,,,,,,,,228128,27,html-keyboard-response,
54,Condition 1,0.0-0.0,1,,,,,,,,,,18668,"<div class=""consent-form""><p><img src=""consent_header.png""></p><p style=""text-align:center;font-weight:bold;"">ONLINE INFORMATION SHEET</p><p><strong>Title of Project</strong>: The cognitive basis of pragmatic inferences</p><p>This study has been approved by the RD Ethics Chair as LING-2021-01-21</p><p>&nbsp;</p><p><strong>Name, Address and Contact Details of Principal Investigator:</strong></p><p>Richard Breheny (<a href=""mailto:r.breheny@ucl.ac.uk"">r.breheny@ucl.ac.uk</a>)<br>UCL Linguistics<br>Division of Psychology and Language Sciences<br>Chandler House<br>2 Wakefield Street<br>London WC1N 1PF</p><p>&nbsp;</p><p><strong>Other investigators:</strong></p><p>Sebastian Schuster, Bokun Li</p><p>&nbsp;</p><p>We would like to invite you to participate in this research project. You should only participate if you want to. Choosing not to take part will not disadvantage you in any way. Before you decide whether you want to take part, please read the following information carefully. Please contact us if there is anything that is not clear or if you would like more information (<a href=""mailto:s.schuster@ucl.ac.uk"">s.schuster@ucl.ac.uk</a>).</p><p>&nbsp;</p><p><strong>Details of Study</strong></p><p>This study forms part of a research project under the supervision of Professor Richard Breheny in the Linguistics Department of the UCL Division of Psychology and Language Sciences which looks at how people process language. The study addresses the question of how people read more into communication than the actual words say. We will record participants' responses and responses may be timed.</p><p>&nbsp;</p><p><strong>Possible risks and benefits</strong></p><p>The testing session will take approximately <strong>8 minutes</strong> (including breaks). You are free to withdraw from the experiment at any time.  Once you have completed the experiment, you will be redirected to the recruitment platform you used to access our study, and you will be compensated for your time.</p><p>It is up to you to decide whether or not to take part. If you do decide to take part, you will be asked to provide an informed consent. Even after agreeing to take part, you can still withdraw at any time and without giving a reason.</p><p>All data are collected and stored in accordance with the provisions of the General Data Protection Regulations and the Data Protection Act 2018.</p><p>&nbsp;</p></div>",,,,,,,,,,,18680,0,html-button-response,
54,Condition 1,0.0-1.0,1,,,,,,,,,,4451,"<div class=""consent-form""><p><img src=""consent_header.png""></p><p style=""text-align:center;font-weight:bold;"">ONLINE CONSENT FORM</p><p><strong>Title of Project</strong>: The cognitive basis of pragmatic inferences</p><p>This study forms part of a research project under the supervision of Professor Richard Breheny in the Linguistics Department of the UCL Division of Psychology and Language Sciences. This study has been approved by the RD Ethics Chair as LING-2021-01-21</p><p>Please read the following information carefully:</p><ul><li>You have read and understood the information sheet explaining the project, risks and benefits.</li><li>You understand that you have the right to withdraw at any point during the study, for any reason, and without any prejudice.</li><li>You understand that you must not participate if you suffer from photosensitive epilepsy.</li><li>You consent to the processing of the anonymised data collected for the purposes of this study only and not for any other purposes.</li><li>You consent to the processing of the anonymised data collected for the purposes of this study only and not for any other purposes.</li><li>All data are collected and stored in accordance with the provisions of the General Data Protection Regulations and the Data Protection Act 2018. If you are concerned about how the data is being processed, please contact UCL in the first instance at data-protection@ucl.ac.uk</li></ul><p>If you would like to contact the Principal Investigator in the study to discuss this research, please e-mail <a href=""mailto:r.breheny@ucl.ac.uk"">r.breheny@ucl.ac.uk</a>.</p><p>&nbsp;</p></div>",,,,,,,,,,,23134,1,html-button-response,
54,Condition 1,0.0-2.0, ,,,,,,,,,,14834,"In this experiment, you will see several scenes and answer questions about them. On each slide, you will see one scene and several relevant images. Please distribute 10 coins across the likely images based on the conversation in the scene.<br>Note: You are not required to assign coins to every image, so please distribute the coins only among the likely images.<br>The experiment is conducted in fullscreen mode. When you're ready to begin, please press the space bar.",,,,,,,,,,,37969,2,html-keyboard-response,
54,Condition 1,0.0-3.0,,,,,,,,,,,2619,,True,,,,,,,,,,41597,3,fullscreen,
54,Condition 1,0.0-4.0,0,,,,,,,,,,14823,"<p>The experiment is divided into three parts. In the first part, you will see a similar scene as the one presented below. In each scene, the person on the left is waiting for some hot water for a cup of tea and asks the waiter whether the water is ready. The waiter checks the temperature on the thermometer and then gives a relevant response.</p><div><img src=""./visual stimuli-exp/temperature/visualized_temperature_context/visualized_warm.png"" height = ""450""></div>",,,,,,,,,,,56422,4,html-button-response,
54,Condition 1,0.0-5.0-0.0,,0,0,0,4,4,2,0,0,0,73596,"<div><img src=""./visual stimuli-exp/temperature/visualized_temperature_context/visualized_warm.png"" height = ""270""></div><p style=""margin: 8px 0px;"">Which thermometer do you think is showing the temperature of the water in the cup? Use the ""+"" and ""&ndash;"" buttons to distribute 10 coins across the likely thermometers.</p>",,./visual stimuli-exp/temperature/adjusted_temperature/10.png,./visual stimuli-exp/temperature/adjusted_temperature/20.png,./visual stimuli-exp/temperature/adjusted_temperature/30.png,./visual stimuli-exp/temperature/adjusted_temperature/40.png,./visual stimuli-exp/temperature/adjusted_temperature/50.png,./visual stimuli-exp/temperature/adjusted_temperature/60.png,./visual stimuli-exp/temperature/adjusted_temperature/70.png,./visual stimuli-exp/temperature/adjusted_temperature/80.png,./visual stimuli-exp/temperature/adjusted_temperature/90.png,130027,5,html-coin-betting-response,
